placement,order,traffic,traffic_kind,row_hit_rate,row_miss_rate,bank_conflict_rate,ch_balance_std,subch_balance_std,rank_balance_std,bg_balance_std,bank_balance_std,avg_parallelism,window
ord7_xor_rank,col-bg-rank-row-bank,random,random,0.0,1.0,0.03135,0.0,0.0,0.0075,0.019326665516844855,0.03885357126442819,20.4415,32
ord7_xor_rank,col-bg-rank-row-bank,locality,locality,0.0037,0.9963,0.1139,0.0,0.0,0.0098,0.016712869292853337,0.06408244689460602,14.1816,32
ord7_xor_bank,col-bg-rank-row-bank,linear,linear,0.9685,0.0315,0.0,0.0,0.0,0.0016,0.0022978250586152115,1.7320569043769893,2.9358,32
ord7_xor_bank,col-bg-rank-row-bank,strided,strided,0.8748,0.1252,0.0,0.0,0.0,0.0003,0.0,1.7320508075688772,7.99475,32
ord7_xor_bank,col-bg-rank-row-bank,random,random,0.0,1.0,0.03375,0.0,0.0,0.0024,0.019326665516844855,0.0422203742285641,20.386,32
ord7_xor_bank,col-bg-rank-row-bank,locality,locality,0.0037,0.9963,0.11385,0.0,0.0,0.0099,0.016712869292853337,0.05280151512977634,13.99115,32
ord8_direct,col-bg-bank-rank-row,linear,linear,0.968,0.032,0.0,0.0,0.0,0.0186,0.0022978250586152115,0.005366563145999496,2.9358,32
ord8_direct,col-bg-bank-rank-row,strided,strided,0.8746,0.1254,0.0,0.0,0.0,0.0016,0.0,0.002683281572999748,8.7436,32
ord8_direct,col-bg-bank-rank-row,random,random,0.0,1.0,0.03175,0.0,0.0,0.0083,0.019326665516844855,0.03491704454847231,20.4326,32
ord8_direct,col-bg-bank-rank-row,locality,locality,0.0068,0.9932,0.0293,0.0,0.0,0.0049,0.016712869292853337,0.039561597541049834,20.41895,32
ord8_xor_bg,col-bg-bank-rank-row,linear,linear,0.968,0.032,0.0,0.0,0.0,0.0186,0.0022978250586152115,0.005366563145999496,2.9358,32
ord8_xor_bg,col-bg-bank-rank-row,strided,strided,0.8746,0.1254,0.0,0.0,0.0,0.0016,0.0,0.002683281572999748,8.7436,32
ord8_xor_bg,col-bg-bank-rank-row,random,random,0.0,1.0,0.03115,0.0,0.0,0.0083,0.02613426869074396,0.03846868856615728,20.3543,32
ord8_xor_bg,col-bg-bank-rank-row,locality,locality,0.00685,0.99315,0.02885,0.0,0.0,0.0049,0.022987822863420538,0.041104744251728415,20.4326,32
ord8_xor_bank,col-bg-bank-rank-row,linear,linear,0.968,0.032,0.0,0.0,0.0,0.0186,0.0022978250586152115,0.005366563145999496,2.9358,32
ord8_xor_bank,col-bg-bank-rank-row,strided,strided,0.8746,0.1254,0.0,0.0,0.0,0.0016,0.0,0.002683281572999748,8.7436,32
ord8_xor_bank,col-bg-bank-rank-row,random,random,0.0,1.0,0.0334,0.0,0.0,0.0083,0.019326665516844855,0.0327414110874898,20.4837,32
ord8_xor_bank,col-bg-bank-rank-row,locality,locality,0.0068,0.9932,0.0294,0.0,0.0,0.0049,0.016712869292853337,0.03414322773259728,20.43505,32
ord8_xor_rank,col-bg-bank-rank-row,linear,linear,0.968,0.032,0.0,0.0,0.0,0.0186,0.0022978250586152115,0.005366563145999496,2.9358,32
ord8_xor_rank,col-bg-bank-rank-row,strided,strided,0.8746,0.1254,0.0,0.0,0.0,0.0016,0.0,0.002683281572999748,8.7436,32
ord8_xor_rank,col-bg-bank-rank-row,random,random,0.0,1.0,0.03175,0.0,0.0,0.005,0.019326665516844855,0.03491704454847231,20.4326,32
ord8_xor_rank,col-bg-bank-rank-row,locality,locality,0.0068,0.9932,0.0293,0.0,0.0,0.004,0.016712869292853337,0.039561597541049834,20.41895,32
ord9_direct,col-bg-bank-row-rank,linear,linear,0.93745,0.06255,0.0,0.0,0.0,1.0,0.0022978250586152115,0.005366563145999496,2.9358,32
